Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,131.953,-133.731,180,top
C2,100n,C_0603_1608Metric,104.902,-146.177,180,top
C3,100n,C_0603_1608Metric,127.495,-133.858,0,top
C4,100n,C_0603_1608Metric,129.794,-135.382,180,top
C5,100n,C_0603_1608Metric,134.112,-146.177,180,top
C6,100n,C_0603_1608Metric,98.171,-133.985,0,top
C7,100n,C_0603_1608Metric,102.743,-133.985,180,top
C8,100n,C_0603_1608Metric,100.584,-135.509,180,top
Q1,S9015,SOT-23,136.144,-135.89,90,top
Q2,S9015,SOT-23,106.934,-135.89,90,top
R1,20k,R_0603_1608Metric,132.905,-135.382,180,top
R2,8.2k,R_0603_1608Metric,131.191,-137.033,180,top
R3,1.2k,R_0603_1608Metric,126.746,-136.208,-90,top
R4,20k,R_0603_1608Metric,103.632,-135.509,180,top
R5,8.2k,R_0603_1608Metric,101.981,-137.033,180,top
R6,1.2k,R_0603_1608Metric,97.536,-136.271,-90,top
U1,HX711,SOIC-16_3.9x9.9mm_P1.27mm,131.191,-141.605,-90,top
U2,HX711,SOIC-16_3.9x9.9mm_P1.27mm,101.981,-141.605,-90,top
