Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,150.720048,-128.27,0,top
C2,22u,C_0805_2012Metric,156.308048,-128.27,0,top
C3,22u,C_0805_2012Metric,157.578048,-96.52,180,top
C4,100n,C_0603_1608Metric,158.086048,-101.6,0,top
C5,100n,C_0603_1608Metric,158.848048,-82.296,180,top
C6,100n,C_0603_1608Metric,148.180048,-63.5,180,top
C7,100n,C_0603_1608Metric,158.848048,-44.704,180,top
C8,100n,C_0603_1608Metric,148.180048,-82.296,180,top
C9,100n,C_0603_1608Metric,158.848048,-63.5,180,top
C10,100n,C_0603_1608Metric,148.180048,-44.704,180,top
D1,1N5819,D_SOD-123,146.402048,-128.27,0,top
D2,1N5819,D_SOD-123,160.626048,-128.27,0,top
R1,10k,R_0603_1608Metric,154.911048,-101.6,180,top
R2,10k,R_0603_1608Metric,148.815048,-106.66,0,top
R3,10k,R_0603_1608Metric,148.815048,-109.2,0,top
R4,4.7k,R_0603_1608Metric,145.386048,-80.518,0,top
R5,4.7k,R_0603_1608Metric,161.642048,-61.214,180,top
R6,4.7k,R_0603_1608Metric,161.642048,-80.01,180,top
R7,4.7k,R_0603_1608Metric,145.386048,-42.926,0,top
R8,4.7k,R_0603_1608Metric,145.386048,-61.722,0,top
R9,4.7k,R_0603_1608Metric,161.642048,-42.418,180,top
R10,10k,R_0603_1608Metric,145.386048,-78.486,0,top
R11,10k,R_0603_1608Metric,161.642048,-59.69,180,top
R12,10k,R_0603_1608Metric,161.642048,-78.486,180,top
R13,10k,R_0603_1608Metric,145.386048,-40.894,0,top
R14,10k,R_0603_1608Metric,145.386048,-59.69,0,top
R15,10k,R_0603_1608Metric,161.642048,-40.894,180,top
R16,1k,R_0603_1608Metric,144.878048,-92.71,90,top
R17,1k,R_0603_1608Metric,155.038048,-73.914,90,top
R18,1k,R_0603_1608Metric,155.038048,-92.71,90,top
R19,1k,R_0603_1608Metric,144.878048,-55.118,90,top
R20,1k,R_0603_1608Metric,144.878048,-73.66,90,top
R21,1k,R_0603_1608Metric,155.038048,-55.118,90,top
U2,DAC7578xPW,TSSOP-16_4.4x5mm_P0.65mm,154.784048,-105.918,180,top
U3,TL074,SOIC-14_3.9x8.7mm_P1.27mm,153.514048,-82.296,180,top
U4,TL074,SOIC-14_3.9x8.7mm_P1.27mm,153.514048,-63.5,180,top
U5,TL074,SOIC-14_3.9x8.7mm_P1.27mm,153.514048,-44.704,180,top
