Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C15, C18, C19, C21, C23, C24, C25, C26, C27, C28, C9",603,12,100n,C14663
"C11, C12, C13, C14, C7, C8",603,6,10u,C96446
"C16, C17, C5, C6",603,4,27p,C107045
"C20, C22",603,2,1u,C15849
"D1, D2, D3",D_SOD-123,3,1N4148W,C81598
"D4, D5, D6",603,3,LED,C2286
J5,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"Q1, Q2, Q3, Q4",SOT-23,4,2N7002,C8545
"R1, R2, R3, R4",603,4,100,C22775
"R10, R11, R12, R16, R18, R5, R6, R7, R8, R9",603,10,1k,C21190
"R13, R15, R24",603,3,220,C22962
R14,603,1,560,C23204
"R19, R25",603,2,120,C22787
"R20, R21",603,2,27,C25190
"R22, R23",603,2,5.1k,C23186
R26,603,1,10k,C25804
SW1,SW_DIP_SPSTx04_Slide_Omron_A6S-410x_W8.9mm_P2.54mm,1,SW_DIP_x04,C306873
"U1, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,C5947
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,C15193
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2551-I-SN,C7376
U9,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,C2682774
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
