Designator,Mid X,Mid Y,Rotation,Layer
C10,53.9,-25.9,0.0,top
C11,48.6,-80.7,90.0,top
C12,29.1,-75.4,0.0,top
C13,32.2,-75.4,0.0,top
C14,60.05,-38.475,90.0,top
C15,31.1,-66.9,180.0,top
C16,46.0,-59.6,90.0,top
C17,52.8,-62.0,0.0,top
C18,48.05,-38.475,90.0,top
C19,55.0,-59.65,270.0,top
C20,55.55,-38.475,90.0,top
C21,58.55,-38.475,90.0,top
C22,57.05,-38.475,90.0,top
C23,44.2,-46.1,180.0,top
C24,41.8,-52.7,180.0,top
C25,58.75,-49.8,0.0,top
C26,51.05,-38.475,90.0,top
C27,49.55,-38.475,90.0,top
C28,53.5,-59.65,270.0,top
C5,36.6,-69.0,90.0,top
C6,42.6,-69.0,270.0,top
C7,13.65,-74.5,270.0,top
C8,43.55,-87.3,180.0,top
C9,34.35,-55.3,90.0,top
D1,57.75,-5.0,90.0,top
D2,46.75,-5.0,90.0,top
D3,35.75,-5.0,90.0,top
D4,49.6,-71.75,180.0,top
D5,49.6,-73.45,180.0,top
D6,49.6,-75.15,180.0,top
J1,21.0,-51.0,180.0,top
J10,97.0,-82.0,180.0,top
J11,97.0,-72.0,180.0,top
J12,97.0,-62.0,180.0,top
J13,97.0,-52.0,180.0,top
J14,97.0,-42.0,180.0,top
J15,97.0,-32.0,180.0,top
J16,97.0,-22.0,180.0,top
J17,97.0,-12.0,180.0,top
J18,65.0,-3.5,0.0,top
J19,78.0,-3.5,0.0,top
J2,17.0,-91.0,0.0,top
J20,70.0,-62.0,270.0,top
J21,21.0,-32.0,180.0,top
J22,21.0,-70.0,180.0,top
J23,4.75,-53.0,0.0,top
J3,54.0,-91.0,0.0,top
J4,4.75,-24.0,0.0,top
J5,86.0,-95.675,0.0,top
J6,51.0,-3.5,0.0,top
J7,40.0,-3.5,0.0,top
J8,29.0,-3.5,0.0,top
J9,18.0,-3.5,0.0,top
PS1,15.0,-80.0,90.0,top
Q1,40.65,-23.3625,90.0,top
Q2,36.2,-23.3625,90.0,top
Q3,31.75,-23.3625,90.0,top
Q4,27.3,-23.3625,90.0,top
R1,39.65,-26.95,90.0,top
R10,98.0,-36.0,0.0,top
R11,98.0,-26.0,0.0,top
R12,98.0,-16.0,180.0,top
R13,12.0,-46.0,90.0,top
R14,52.75,-71.75,0.0,top
R15,12.0,-74.5,90.0,top
R16,46.4,-26.1,0.0,top
R17,46.4,-24.5,180.0,top
R18,52.0,-59.65,270.0,top
R19,29.7,-57.6,0.0,top
R2,35.2,-26.9,90.0,top
R20,52.55,-38.475,270.0,top
R21,54.05,-38.475,270.0,top
R22,84.75,-88.95,270.0,top
R23,87.75,-88.95,270.0,top
R24,52.75,-73.45,0.0,top
R25,52.75,-75.15,0.0,top
R26,35.15,-57.6,0.0,top
R3,30.75,-26.9,90.0,top
R4,26.35,-26.95,90.0,top
R5,98.0,-86.0,0.0,top
R6,98.0,-76.0,0.0,top
R7,98.0,-66.0,0.0,top
R8,98.0,-56.0,0.0,top
R9,98.0,-46.0,0.0,top
RV1,54.5,-14.5,90.0,top
RV2,43.5,-14.5,90.0,top
RV3,32.5,-14.5,90.0,top
RV4,21.5,-14.5,90.0,top
RV5,6.0,-10.5,180.0,top
RV6,6.0,-79.0,180.0,top
SW1,68.0,-50.0,180.0,top
U1,35.0,-35.0,270.0,top
U2,68.0,-30.0,180.0,top
U4,39.0,-84.0,0.0,top
U5,54.0,-82.0,0.0,top
U6,49.5,-30.0,0.0,top
U7,37.6,-62.3,90.0,top
U8,31.1,-62.3,90.0,top
U9,50.0,-50.0,0.0,top
Y1,39.6,-69.0,180.0,top
Y2,49.0,-59.65,180.0,top
