Comment,Designator,Footprint,LCSC Part Number
100k,"R24,R2,R40,R34,R14,R4,R30,R32,R6,R28,R26,R38,R13",R_0603_1608Metric,C25803
SGTL5000XNAA3,"U5,U6",QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,C511764
0.1u,"C7,C8,C20,C9,C10,C13,C18,C11",C_0603_1608Metric,C14663
22u,"C6,C4,C1,C5,C2,C3",C_0805_2012Metric,C129303
47k,"R8,R39,R31,R37,R18,R25,R27,R1,R7,R33,R23,R29,R17",R_0603_1608Metric,C25819
2.2u,"C24,C26,C27,C19,C14,C17,C30,C12,C16,C23,C28,C15,C29,C25",C_0603_1608Metric,C23630
30k,"R20,R22,R12,R10",R_0603_1608Metric,C22984
220,"R15,R16,R3,R5",R_0603_1608Metric,C22962
100,"R36,R35",R_0603_1608Metric,C22775
10k,"R11,R19,R42,R9,R21,R41",R_0603_1608Metric,C25804
TL072,"U3,U2",SOIC-8_3.9x4.9mm_P1.27mm,C6961
0.15u,"C22,C21",C_0603_1608Metric,C1597
AMS1117-1.8,U4,SOT-223-3_TabPin2,C6185
SM4007,"D2,D1",D_SOD-123,C64898
600 ohm,"L1,L2",L_0603_1608Metric,C1002
