Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,16.5,-30.5,0,top
D2,1N4148W,D_SOD-123,28,-30.5,0,top
D4,1N4148W,D_SOD-123,5.5,-30.5,0,top
J1,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4.5,-35,0,top
J2,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,15.5,-35,0,top
J3,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,26.5,-35,0,top
J5,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,16.5,-11,90,top
J6,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,9,-11,90,top
J7,Conn_01x02,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,38,-35,0,top
J8,Conn_01x06,PinSocket_1x06_P2.54mm_Vertical,24,-1.7,90,top
Q1,2N7002,SOT-23,19,-16.5,0,top
Q2,2N7002,SOT-23,8,-16.5,0,top
Q3,2N7002,SOT-23,30,-16.5,0,top
Q4,2N7002,SOT-23,41,-16.5,0,top
R1,100,R_0603_1608Metric,5,-16.5,90,top
R2,100,R_0603_1608Metric,16,-16.5,90,top
R5,100,R_0603_1608Metric,27,-16.5,90,top
R7,100,R_0603_1608Metric,38,-16.5,90,top
RV1,10k,Potentiometer_Bourns_3386P_Vertical,3,-24,-90,top
RV2,10k,Potentiometer_Bourns_3386P_Vertical,14,-24,-90,top
RV3,10k,Potentiometer_Bourns_3386P_Vertical,25,-24,-90,top
RV4,10k,Potentiometer_Bourns_3386P_Vertical,36,-24,-90,top
U1,74HC595,SOIC-16_3.9x9.9mm_P1.27mm,30,-10.7,90,top
