Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C13, C14, C15, C16, C18, C19, C22, C26, C29, C30, C31, C32, C33, C34, C35, C37, C38, C48, C5, C7",603,22,100n,C14663
"C11, C8",603,2,1u,C15849
"C20, C21",603,2,6.8n,C1631
C23,603,1,22n,C21122
"C27, C28",603,2,18p,C1647
"C3, C4",603,2,27p,C107045
C36,603,1,4.7u,C19666
"C6, C9",603,2,10u,C96446
"D3, D4, D7, D8",603,4,LED,C2286
FB1,603,1,FerriteBead,C1002
J7,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"R1, R10, R13, R17, R18, R2, R20, R21, R22, R24, R25, R28, R3, R32, R33, R35, R36, R37, R47, R48, R49, R50, R51, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R8, R9",603,51,5.1k,C23186
R11,603,1,2.2k,C4190
"R12, R4, R5, R52",603,4,1k,C21190
"R14, R19, R23, R26",603,4,470,C23179
"R15, R16",603,2,27,C25190
R27,603,1,10,C22859
"R29, R30, R31",603,3,4.7k,C23162
R34,603,1,1M,C22935
"R38, R44, R45, R46",603,4,49.9,C23185
"R39, R40, R41, R42",603,4,4.7,C23164
R43,603,1,12.4k,C22865
"R77, R78",603,2,220,C22962
"SW2, SW3",SW_SPST_TL3342,2,SW_Push,C318884
"U1, U2, U3",TQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm_ThermalVias,3,MAX7313,C2669657
U12,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U6,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
