Designator,Mid X,Mid Y,Rotation,Layer
C10,40.8,-73.9,180.0,top
C11,43.8,-82.975,270.0,top
C12,56.9,-69.9,90.0,top
C13,45.6,-63.775,90.0,top
C14,56.3,-76.175,0.0,top
C15,50.2,-82.975,270.0,top
C16,42.2,-82.975,270.0,top
C17,11.0,-93.5,180.0,top
C18,51.8,-82.975,270.0,top
C19,25.2,-46.7,90.0,top
C20,22.8,-77.825,270.0,top
C21,19.6,-77.85,90.0,top
C22,23.6,-46.7,90.0,top
C23,34.6,-90.5,180.0,top
C26,36.1,-61.2,0.0,top
C27,36.1,-59.6,180.0,top
C28,36.1,-53.6,0.0,top
C29,26.8,-46.7,90.0,top
C3,54.8,-63.775,90.0,top
C30,27.0,-67.025,270.0,top
C31,15.475,-54.5,180.0,top
C32,23.8,-67.025,270.0,top
C33,22.2,-67.025,270.0,top
C34,15.475,-62.5,180.0,top
C35,15.475,-59.3,180.0,top
C36,25.4,-67.025,270.0,top
C37,28.6,-67.025,270.0,top
C38,21.2,-74.725,270.0,top
C4,48.8,-63.775,90.0,top
C48,57.975,-86.275,180.0,top
C5,44.0,-63.775,90.0,top
C6,87.65,-73.6,0.0,top
C7,53.4,-82.975,270.0,top
C8,45.4,-82.975,270.0,top
C9,87.65,-76.1,0.0,top
D3,94.9875,-77.0,0.0,top
D4,94.9875,-75.3,0.0,top
D7,95.0,-73.6,0.0,top
D8,94.9875,-78.7,0.0,top
FB1,22.0,-46.7125,90.0,top
J1,47.25,-11.0,90.0,top
J10,83.6,-34.9,0.0,top
J11,83.6,-42.9,0.0,top
J12,83.6,-50.9,0.0,top
J13,83.6,-58.9,0.0,top
J14,83.6,-66.9,0.0,top
J15,7.0,-83.0,270.0,top
J16,7.0,-43.5,180.0,top
J17,7.0,-73.0,180.0,top
J2,13.0,-11.0,90.0,top
J3,87.0,-94.0,180.0,top
J4,43.7,-56.04,180.0,top
J5,76.5,-11.0,90.0,top
J6,83.6,-18.9,0.0,top
J7,48.0,-95.5,0.0,top
J8,83.6,-26.9,0.0,top
J9,28.0,-88.0,270.0,top
R1,56.3,-72.975,0.0,top
R10,27.8,-2.6,90.0,top
R11,91.8625,-77.0,180.0,top
R12,91.8625,-75.3,180.0,top
R13,29.4,-2.6,90.0,top
R14,91.875,-73.6,180.0,top
R15,48.6,-82.975,90.0,top
R16,47.0,-82.975,90.0,top
R17,31.0,-2.6,90.0,top
R18,32.6,-2.6,90.0,top
R19,91.875,-78.7,180.0,top
R2,56.3,-74.575,0.0,top
R20,34.2,-2.6,90.0,top
R21,13.4,-2.6,90.0,top
R22,16.6,-2.6,90.0,top
R23,36.1,-62.8,0.0,top
R24,46.7,-90.0,270.0,top
R25,49.8,-90.0,270.0,top
R26,36.1,-64.4,0.0,top
R27,26.0,-74.725,90.0,top
R28,19.8,-2.6,90.0,top
R29,36.1,-52.0,180.0,top
R3,11.8,-2.6,90.0,top
R30,36.1,-50.4,180.0,top
R31,28.4,-46.7,270.0,top
R32,23.0,-2.6,90.0,top
R33,26.2,-2.6,90.0,top
R34,38.7,-56.7,270.0,top
R35,74.9,-2.6,90.0,top
R36,78.1,-2.6,90.0,top
R37,81.3,-2.6,90.0,top
R38,24.4,-74.725,90.0,top
R39,15.475,-51.3,180.0,top
R4,41.4,-63.775,90.0,top
R40,15.475,-52.9,0.0,top
R41,15.475,-56.1,180.0,top
R42,15.475,-57.7,0.0,top
R43,15.475,-60.9,0.0,top
R44,27.6,-74.725,90.0,top
R45,19.6,-74.75,90.0,top
R46,22.8,-74.725,90.0,top
R47,84.5,-2.6,90.0,top
R48,86.1,-2.6,90.0,top
R49,76.5,-2.6,90.0,top
R5,47.2,-63.775,90.0,top
R50,79.7,-2.6,90.0,top
R51,82.9,-2.6,90.0,top
R52,70.6,-86.375,0.0,top
R53,96.7,-15.1,0.0,top
R54,96.7,-23.1,0.0,top
R55,96.7,-31.0,0.0,top
R56,96.7,-39.1,0.0,top
R57,96.7,-47.1,0.0,top
R58,96.7,-55.1,0.0,top
R59,96.7,-63.1,0.0,top
R6,15.0,-2.6,90.0,top
R60,96.7,-13.5,0.0,top
R61,96.7,-21.5,0.0,top
R62,96.7,-29.4,0.0,top
R63,96.7,-37.5,0.0,top
R64,96.7,-45.5,0.0,top
R65,96.7,-53.5,0.0,top
R66,96.7,-61.5,0.0,top
R67,45.2,-2.6,90.0,top
R68,48.4,-2.6,90.0,top
R69,51.6,-2.6,90.0,top
R7,18.2,-2.6,90.0,top
R70,54.8,-2.6,90.0,top
R71,58.0,-2.6,90.0,top
R72,59.6,-2.6,90.0,top
R73,50.0,-2.6,90.0,top
R74,53.2,-2.6,90.0,top
R75,56.4,-2.6,90.0,top
R76,46.8,-2.6,90.0,top
R77,11.6,-24.9,270.0,top
R78,11.7,-54.4,270.0,top
R8,21.4,-2.6,90.0,top
R9,24.6,-2.6,90.0,top
RV1,18.2,-36.4,180.0,top
RV2,28.54,-36.36,180.0,top
SW1,73.0,-75.0,180.0,top
SW2,61.0,-93.5,90.0,top
SW3,68.5,-93.5,90.0,top
TP1,4.3,-14.9,0.0,top
U1,24.0,-30.0,0.0,top
U12,64.3,-84.275,180.0,top
U2,47.0,-30.0,0.0,top
U3,69.0,-30.0,0.0,top
U4,81.15,-76.1,180.0,top
U5,47.9,-73.6375,180.0,top
U6,25.5,-56.7,0.0,top
Y1,51.8,-63.775,0.0,top
Y2,36.1,-56.6,90.0,top
