Designator,Mid X,Mid Y,Rotation,Layer
D1,38.4,-10.64,0.0,top
D10,160.32,-9.04,0.0,top
D11,200.96,-9.04,0.0,top
D12,241.6,-9.04,0.0,top
D13,38.4,-12.24,0.0,top
D14,79.04,-12.24,0.0,top
D15,119.68,-12.24,0.0,top
D16,160.32,-12.24,0.0,top
D17,200.96,-12.24,0.0,top
D18,241.6,-12.24,0.0,top
D19,38.4,-21.57,0.0,top
D2,79.04,-10.64,0.0,top
D20,79.04,-21.57,0.0,top
D21,119.68,-21.57,0.0,top
D22,160.32,-21.57,0.0,top
D23,200.96,-21.57,0.0,top
D24,241.6,-21.57,0.0,top
D25,38.4,-19.97,0.0,top
D26,79.04,-19.97,0.0,top
D27,119.68,-19.97,0.0,top
D28,160.32,-19.97,0.0,top
D29,200.96,-19.97,0.0,top
D3,119.68,-10.64,0.0,top
D30,241.6,-19.97,0.0,top
D31,38.4,-23.17,0.0,top
D32,79.04,-23.17,0.0,top
D33,119.68,-23.17,0.0,top
D34,160.32,-23.17,0.0,top
D35,200.96,-23.17,0.0,top
D36,241.6,-23.17,0.0,top
D37,38.4,-32.5,0.0,top
D38,79.04,-32.5,0.0,top
D39,119.68,-32.5,0.0,top
D4,160.32,-10.64,0.0,top
D40,160.32,-32.5,0.0,top
D41,200.96,-32.5,0.0,top
D42,241.6,-32.5,0.0,top
D43,38.4,-30.9,0.0,top
D44,79.04,-30.9,0.0,top
D45,119.68,-30.9,0.0,top
D46,160.32,-30.9,0.0,top
D47,200.96,-30.9,0.0,top
D48,241.6,-30.9,0.0,top
D49,38.4,-34.1,0.0,top
D5,200.96,-10.64,0.0,top
D50,79.04,-34.1,0.0,top
D51,119.68,-34.1,0.0,top
D52,160.32,-34.1,0.0,top
D53,200.96,-34.1,0.0,top
D54,241.6,-34.1,0.0,top
D55,38.4,-43.43,0.0,top
D56,79.04,-43.43,0.0,top
D57,119.68,-43.43,0.0,top
D58,160.32,-43.43,0.0,top
D59,200.96,-43.43,0.0,top
D6,241.6,-10.64,0.0,top
D60,241.6,-43.43,0.0,top
D61,38.4,-41.83,0.0,top
D62,79.04,-41.83,0.0,top
D63,119.68,-41.83,0.0,top
D64,160.32,-41.83,0.0,top
D65,200.96,-41.83,0.0,top
D66,241.6,-41.83,0.0,top
D67,38.4,-45.03,0.0,top
D68,79.04,-45.03,0.0,top
D69,119.68,-45.03,0.0,top
D7,38.4,-9.04,0.0,top
D70,160.32,-45.03,0.0,top
D71,200.96,-45.03,0.0,top
D72,241.6,-45.03,0.0,top
D73,38.4,-55.96,0.0,top
D74,79.04,-55.96,0.0,top
D75,119.68,-55.96,0.0,top
D76,160.32,-55.96,0.0,top
D77,200.96,-55.96,0.0,top
D78,241.6,-55.96,0.0,top
D79,38.4,-54.36,0.0,top
D8,79.04,-9.04,0.0,top
D80,79.04,-54.36,0.0,top
D81,119.68,-54.36,0.0,top
D82,160.32,-54.36,0.0,top
D83,200.96,-54.36,0.0,top
D84,241.6,-54.36,0.0,top
D85,38.4,-52.76,0.0,top
D86,79.04,-52.76,0.0,top
D87,119.68,-52.76,0.0,top
D88,160.32,-52.76,0.0,top
D89,200.96,-52.76,0.0,top
D9,119.68,-9.04,0.0,top
D90,241.6,-52.76,0.0,top
J2,12.0,-32.5,180.0,bottom
Q1,133.0,-10.64,0.0,top
Q10,133.0,-43.43,0.0,top
Q11,142.0,-43.43,0.0,top
Q12,150.0,-43.43,0.0,top
Q13,150.0,-54.36,0.0,top
Q14,133.0,-54.36,0.0,top
Q15,142.0,-54.36,0.0,top
Q2,142.0,-10.64,0.0,top
Q3,150.0,-10.64,0.0,top
Q4,133.0,-21.57,0.0,top
Q5,142.0,-21.57,0.0,top
Q6,150.0,-21.57,0.0,top
Q7,133.0,-32.5,0.0,top
Q8,142.0,-32.5,0.0,top
Q9,150.0,-32.5,0.0,top
R1,41.5,-10.64,0.0,top
R10,163.4,-9.04,0.0,top
R100,122.8,-52.76,0.0,top
R101,163.4,-52.76,0.0,top
R102,204.1,-52.76,0.0,top
R103,244.7,-52.76,0.0,top
R104,130.2,-54.4,90.0,top
R105,139.2,-54.325,90.0,top
R11,204.1,-9.04,0.0,top
R12,244.7,-9.04,0.0,top
