Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C2",402,4,10u,C15525
C10,402,1,1u,C52923
"C13, C9",402,2,100n,C307331
D1,D_SOD-323,1,1N5819WS,C191023
"Q2, Q5",SOT-23,2,BSS138,C7420339
Q3,SOT-723,1,CJ3139K,C70022
"R1, R10, R13, R14, R9",402,5,10k,C25744
R11,402,1,470,C25117
R17,402,1,3.3k,C25890
"R18, R4",402,1,100k,C25741
R5,402,1,33k,C25779
U3,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,C726001
U4,SOT-23-5,1,TP4065-4.2V,C113540
U5,SOT-23-5,1,MIC5225-3.3,C512101
U7,SOT-23-5,1,MIC5225-1.8,C625861
