Designator,Mid X,Mid Y,Rotation,Layer
C1,28.4875,-13.7,180.0,top
C10,28.9,-10.0,270.0,top
C11,34.3875,-13.6625,180.0,top
C12,33.1,-19.0,180.0,top
C13,35.1,-27.6,0.0,top
C2,29.3,-19.0,0.0,top
C9,35.1,-28.7,0.0,top
D1,30.4875,-10.6625,270.0,top
J2,36.3,-7.0,90.0,bottom
J3,24.5,-14.58,0.0,bottom
J7,37.9,-14.58,0.0,bottom
Q2,29.45,-22.0625,90.0,top
Q3,30.4875,-13.2625,270.0,top
Q5,32.95,-22.0625,90.0,top
R1,34.6,-26.1,90.0,top
R10,30.24,-24.5625,180.0,top
R11,23.7,-7.1,270.0,top
R13,34.16,-24.5625,180.0,top
R14,32.16,-24.5625,0.0,top
R17,31.2,-19.0,0.0,top
R18,32.4775,-13.6625,180.0,top
R4,28.4875,-12.6625,180.0,top
R5,28.4875,-11.5625,0.0,top
R9,28.24,-24.5625,0.0,top
SW1,33.2,-2.4,180.0,top
U3,31.3,-28.2,0.0,top
U4,30.05,-16.4,270.0,top
U5,33.2375,-11.055,270.0,top
U7,33.6,-16.4,270.0,top
