Designator,Footprint,Quantity,Value,LCSC Part #,
AE1,NN01-102,1,Antenna_Chip,,
"C1, C11, C12, C2, C22, C23, C24, C25",402,8,10u,,C15525
"C10, C6",402,2,1u,,C52923
"C13, C16, C17, C3, C4, C5, C7, C8",402,8,100n,,C307331
C9,603,1,100n,,C14663
D1,D_SOD-323,1,1N5819WS,,C191023
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,,C709357
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,,
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,,C136173
Q3,SOT-723,1,CJ3139K,,C70022
"R10, R13, R14, R9",402,4,2.2k,,C25879
R11,402,1,470,,C25117
"R12, R18, R4",402,3,100k,,C25741
"R17, R6",402,2,3.3k,,C25890
"R2, R3",402,2,5.1k,,C25905
R5,402,1,33k,,C25779
R7,402,1,2k,,C4109
R8,402,1,10k,,C25744
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,,C47742
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,ESP32-PICO-D4,,C193707
U3,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,,C726001
U4,SOT-23-5,1,TP4065-4.2V,,C113540
U5,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76718DRVx,,C2870458
U7,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306,,C33196
U9,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,,C2848334
