Designator,Mid X,Mid Y,Rotation,Layer
AE1,3.95,-35.3,270.0,top
C1,12.70625,-12.35,270.0,top
C10,9.75625,-10.15,270.0,top
C11,6.0,-9.25,270.0,top
C12,2.45,-14.2,0.0,top
C13,5.35,-18.65,90.0,top
C14,9.35,-37.1,0.0,top
C15,9.4,-19.95,180.0,top
C16,7.05,-20.95,135.0,top
C17,8.2,-35.55,0.0,top
C2,7.45625,-11.87,270.0,top
C3,16.35,-21.65,180.0,top
C4,13.25,-36.3375,180.0,top
C5,13.7,-12.95,90.0,top
C6,11.1,-15.2,0.0,top
C7,12.039411,-30.310589,45.0,top
C8,3.68,-22.87,180.0,top
C9,6.35,-18.65,90.0,top
D1,11.20625,-8.15,0.0,top
J1,8.75,-3.5,180.0,top
J10,6.225,-2.3,270.0,bottom
J4,2.4,-7.0,0.0,bottom
J9,15.1,-7.0,0.0,bottom
MK1,12.24,-34.2,90.0,top
Q1,9.73,-17.14,180.0,top
Q3,11.20625,-10.15,270.0,top
R10,7.1,-16.05,180.0,top
R11,1.12,-22.95,270.0,top
R12,9.65,-34.0,270.0,top
R13,2.44,-13.15,180.0,top
R14,2.44,-12.1,180.0,top
R17,7.45625,-13.77,270.0,top
R18,12.70625,-10.15,90.0,top
R2,8.5,-7.7,180.0,top
R3,6.5,-7.7,0.0,top
R4,15.2,-11.7,0.0,top
R5,15.2,-12.7,180.0,top
R6,15.2,-14.7,0.0,top
R7,15.2,-13.7,180.0,top
R8,9.15,-15.2,0.0,top
R9,7.1,-17.1,180.0,top
U1,14.75,-18.4875,90.0,top
U2,8.75,-27.0,45.0,top
U3,2.7,-19.9,0.0,top
U4,10.05625,-12.85,180.0,top
U5,4.8,-13.45,0.0,top
U6,8.54,-15.19,90.0,bottom
U7,3.8,-16.05,0.0,top
U9,7.9,-9.6,0.0,top
