Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C27, C3, C31, C38, C4, C40, C45, C46, C5, C53, C54, C55, C56, C57, C59, C6, C7, C8, C9",0603,32,100n,C14663
"C10, C11, C44",0603,3,1u,C15849
"C12, C30, C36, C37, C39, C41, C42, C47, C48, C52, C58",0603,11,10u,C96446
"C24, C28",0603,2,27p,C1653
"C25, C29",0603,2,22p,C1653
"C26, C32",0603,2,10n,C57112
"C33, C34",0603,2,6.8n,C1631
C35,CP_Elec_6.3x5.4,1,100u,C180946
"C43, C49",0603,2,2.2u,C23630
"C50, C51",0603,2,2.2n,C1604
"D1, D2",D_SOD-123,2,SM4007,C64898
"FB1, FB3",0603,2,FerriteBead,C1002
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"Q1, Q2",SOT-23,2,MMBT3904,C20526
"R1, R2, R24, R25, R38",0603,5,1k,C21190
"R10, R59, R61, R7",0603,4,5.1k,C23186
"R11, R12, R15, R9",0603,4,4.7,C23164
"R13, R17, R18, R28, R3, R31, R32, R33, R35, R36, R37, R39, R40, R41, R58, R6",0603,16,100,C22775
"R14, R16, R43, R44, R45, R46, R47, R48, R49, R50, R51, R54, R55, R8",0603,14,10k,C25804
"R19, R20, R21, R22",0603,4,49.9,C23185
R23,0603,1,1M,C22935
"R26, R27, R34, R42",0603,4,470,C23179
R29,0603,1,12.4k,C22865
R30,0603,1,10,C22859
"R4, R5",0603,2,27,C25190
"R52, R53, R56, R57",0603,4,75,C4275
R60,0603,1,100k,C25803
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,C318884
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5100A,C107671
"U10, U11",SOIC-8_3.9x4.9mm_P1.27mm,2,NE5532,C7426
U12,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,C7377
U13,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,C5613
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U3,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
"U5, U8",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC595,C5947
U7,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
