Designator,Mid X,Mid Y,Rotation,Layer
C1,110.8,-80.925,90.0,top
C10,107.9,-97.95,270.0,top
C11,106.4,-97.95,270.0,top
C12,60.525,-100.69,180.0,top
C13,121.8625,-61.975,0.0,top
C14,121.8625,-63.475,0.0,top
C15,121.8625,-64.975,0.0,top
C16,111.82,-69.325,270.0,top
C17,106.1,-63.925,180.0,top
C18,110.8625,-53.5,90.0,top
C19,113.8625,-53.5,90.0,top
C2,115.4,-97.95,270.0,top
C20,106.1,-60.925,180.0,top
C21,106.125,-59.425,180.0,top
C22,115.3625,-53.5,90.0,top
C23,60.475,-88.53,180.0,top
C24,118.8,-80.925,90.0,top
C25,112.0,-72.45,270.0,top
C26,119.2,-49.325,90.0,top
C27,60.525,-99.19,180.0,top
C28,116.3,-78.05,0.0,top
C29,117.8,-72.55,270.0,top
C3,113.9,-97.95,270.0,top
C30,106.1,-62.425,180.0,top
C31,106.1,-65.425,180.0,top
C32,110.2,-49.325,90.0,top
C33,114.7,-49.325,90.0,top
C34,122.2,-49.325,270.0,top
C35,71.0,-36.225,0.0,top
C36,60.475,-90.03,180.0,top
C37,92.2,-42.225,0.0,top
C38,90.685,-102.8625,180.0,top
C39,90.685,-104.3625,180.0,top
C4,112.4,-97.95,270.0,top
C40,123.8,-106.625,270.0,top
C41,67.8,-40.925,0.0,top
C42,65.3,-52.225,270.0,top
C43,100.185,-106.0875,270.0,top
C44,93.205,-101.3,180.0,top
C45,98.81,-112.0,270.0,top
C46,92.81,-112.0,270.0,top
C47,100.31,-112.0,270.0,top
C48,91.31,-112.0,270.0,top
C49,94.31,-112.0,270.0,top
C5,104.9,-97.95,270.0,top
C50,98.01,-114.30625,0.0,top
C51,95.01,-114.30625,0.0,top
C52,66.8,-57.925,90.0,top
C53,94.205,-127.2,270.0,top
C54,91.205,-117.4,180.0,top
C55,100.11,-127.175,270.0,top
C56,97.205,-117.4,180.0,top
C57,74.485,-108.95,0.0,top
C58,85.27,-132.175,0.0,top
C59,76.4,-53.725,90.0,top
C6,112.3,-80.925,90.0,top
C7,106.4,-88.0,180.0,top
C8,123.32,-82.925,0.0,top
C9,123.3,-93.425,0.0,top
