Designator,Mid X,Mid Y,Rotation,Layer
C1,40.125,-68.4,270.0,top
C10,32.625,-68.4,270.0,top
C11,31.125,-68.4,270.0,top
C12,77.525,-77.9,270.0,top
C13,86.825,-65.4,0.0,top
C14,86.825,-66.9,0.0,top
C15,86.825,-68.4,0.0,top
C16,68.825,-70.6,180.0,top
C17,68.825,-67.6,180.0,top
C18,68.825,-66.1,180.0,top
C19,79.225,-59.6,90.0,top
C2,34.725,-51.075,90.0,top
C20,77.725,-59.6,90.0,top
C21,74.725,-59.6,90.0,top
C22,44.325,-30.3,180.0,top
C23,42.825,-51.1,90.0,top
C24,80.425,-82.1,180.0,top
C25,80.525,-36.3,90.0,top
C26,83.325,-79.7,270.0,top
C27,40.325,-48.1,0.0,top
C28,68.825,-69.1,180.0,top
C29,68.825,-72.1,180.0,top
C3,36.225,-51.075,90.0,top
C30,73.025,-36.3,90.0,top
C31,77.525,-36.3,90.0,top
C32,42.525,-24.6,270.0,top
C33,83.525,-36.3,270.0,top
C34,73.025,-91.4,270.0,top
C35,87.025,-91.3,270.0,top
C36,40.325,-41.1,180.0,top
C4,32.525,-60.2,180.0,top
C42,49.825,-74.7,90.0,top
C5,32.525,-63.3,180.0,top
C6,46.125,-58.8,0.0,top
C7,46.125,-63.3,0.0,top
C8,37.125,-68.4,270.0,top
C9,38.625,-68.4,270.0,top
D1,41.225,-18.4,180.0,top
FB1,86.825,-63.9,180.0,top
J1,31.925,-75.76,0.0,top
J10,77.125,-24.545,180.0,bottom
J11,34.965,-32.36,180.0,top
J12,70.455,-81.6,90.0,bottom
J13,67.915,-99.6,90.0,bottom
J14,67.915,-117.6,90.0,bottom
J17,47.945,-25.6,270.0,bottom
J18,67.915,-63.6,90.0,bottom
J2,72.995,-45.6,90.0,bottom
J5,41.725,-119.725,0.0,top
Q1,42.2875,-97.1,0.0,top
Q2,40.7875,-108.3,0.0,top
Q3,48.475,-108.1625,90.0,top
Q4,68.875,-108.1625,90.0,top
Q5,51.875,-108.1625,90.0,top
Q6,62.075,-108.1625,90.0,top
Q7,55.275,-108.1625,90.0,top
Q8,65.475,-108.1625,90.0,top
Q9,58.675,-108.1625,90.0,top
R1,39.325,-115.325,0.0,top
R10,78.325,-38.6,0.0,top
R11,86.825,-69.9,180.0,top
R12,74.525,-36.3,270.0,top
R13,70.025,-36.3,270.0,top
R14,82.025,-36.3,90.0,top
R15,79.025,-36.3,90.0,top
R16,81.025,-77.1,180.0,top
R17,37.725,-51.1,90.0,top
R18,74.525,-77.925,270.0,top
R19,76.025,-77.925,270.0,top
R2,44.925,-115.325,180.0,top
R20,76.225,-59.6,270.0,top
R21,71.525,-36.3,270.0,top
R22,33.225,-51.075,90.0,top
R23,49.825,-68.5,270.0,top
R24,47.825,-22.575,90.0,top
R25,50.825,-22.575,90.0,top
R26,53.825,-22.575,90.0,top
R27,56.825,-22.575,90.0,top
R28,58.325,-22.575,90.0,top
R29,49.325,-22.575,90.0,top
R3,35.625,-68.4,90.0,top
R30,52.325,-22.575,90.0,top
R31,55.325,-22.575,90.0,top
R32,53.225,-36.0,180.0,top
R33,61.725,-66.6,270.0,top
R34,47.525,-47.8,0.0,top
R35,60.225,-66.6,270.0,top
R36,52.925,-47.8,0.0,top
R37,58.725,-66.6,270.0,top
R38,58.4,-47.8,0.0,top
R39,54.425,-52.3,180.0,top
R4,34.125,-68.4,90.0,top
R40,63.225,-66.6,270.0,top
R41,63.025,-47.8,0.0,top
R42,68.025,-47.8,0.0,top
R43,72.5,-47.8,180.0,top
R44,54.425,-53.8,180.0,top
R45,69.525,-85.6,270.0,top
R46,43.425,-100.4,90.0,top
R47,43.625,-108.3,270.0,top
R48,66.525,-85.6,270.0,top
R49,63.525,-85.6,270.0,top
R5,31.725,-51.075,270.0,top
R50,42.225,-94.5,180.0,top
R51,40.725,-105.7,180.0,top
R52,60.525,-85.6,270.0,top
R53,57.525,-85.6,270.0,top
R54,54.525,-85.6,270.0,top
R55,53.025,-85.6,270.0,top
R56,51.525,-85.6,270.0,top
R57,50.025,-85.6,270.0,top
R58,48.525,-85.6,270.0,top
R59,68.025,-85.6,270.0,top
R6,76.025,-36.3,90.0,top
R60,65.025,-85.6,270.0,top
R61,62.025,-85.6,270.0,top
R62,59.025,-85.6,270.0,top
R63,56.025,-85.6,270.0,top
R64,48.475,-110.8625,180.0,top
R65,48.475,-104.7625,270.0,top
R66,68.875,-110.8625,180.0,top
R67,68.875,-104.7625,270.0,top
R7,68.525,-36.3,270.0,top
R70,51.975,-110.8625,180.0,top
R71,51.875,-104.7625,270.0,top
R72,62.075,-110.8625,180.0,top
R73,62.075,-104.7625,270.0,top
R8,85.025,-36.3,90.0,top
R87,55.275,-110.8625,180.0,top
R88,55.275,-104.7625,270.0,top
R89,65.575,-110.8625,180.0,top
R9,86.825,-71.4,180.0,top
R90,65.475,-104.7625,270.0,top
R98,58.675,-110.8625,180.0,top
R99,58.675,-104.7625,270.0,top
RV1,76.425,-118.95,270.0,top
RV3,76.525,-100.95,270.0,top
SW1,32.525,-98.3,90.0,top
SW2,32.525,-107.0,90.0,top
U1,59.025,-53.6,90.0,top
U2,38.225,-60.5375,180.0,top
U3,78.025,-68.9,270.0,top
U4,77.578,-90.7075,0.0,top
U5,46.125,-71.6,270.0,top
U6,59.025,-71.6,180.0,top
U7,59.025,-35.6,270.0,top
U8,47.372,-33.4925,180.0,top
Y1,40.325,-51.1,270.0,top
Y2,80.425,-79.6,0.0,top
