Designator,Mid X,Mid Y,Rotation,Layer
D1,227.875,-15.0,0.0,bottom
D2,187.235,-15.0,0.0,bottom
D3,146.595,-15.0,0.0,bottom
D4,105.955,-15.0,0.0,bottom
D5,65.315,-15.0,0.0,bottom
D6,24.675,-15.0,0.0,bottom
D7,51.5,-23.1,270.0,top
D8,23.7,-6.2,90.0,top
D9,51.1,-6.35,90.0,top
J1,40.75,-24.95,0.0,top
J2,34.2,-4.75,180.0,top
J3,40.6,-3.7,0.0,top
J4,34.25,-25.975,180.0,top
J5,15.14,-24.05,180.0,top
Q1,48.5,-23.55,90.0,top
Q2,26.75,-5.8,270.0,top
Q3,48.05,-5.9,270.0,top
Q4,26.5,-23.65,90.0,top
R1,221.65,-15.0,0.0,top
R10,25.55,-27.1625,90.0,top
R2,180.825,-15.0,0.0,top
R3,140.05,-15.0,0.0,top
R4,99.65,-15.0,0.0,top
R5,59.1,-15.0,0.0,top
R6,21.65,-10.9,0.0,top
R7,47.55,-27.1125,90.0,top
R8,27.7,-2.2375,270.0,top
R9,49.0,-2.3625,270.0,top
