Designator,Footprint,Quantity,Value,LCSC Part #
AE1,1206,1,Antenna_Chip,C293767
"C1, C11, C2, C22, C23, C24, C25",0402,7,10u,C15525
"C10, C6",0402,2,1u,C52923
"C12, C16, C17, C3, C4, C5, C7, C8, C9",0402,9,100n,C307331
"C13, C14",0402,2,22p,C1555
D1,D_SOD-323,1,1N5819WS,C191023
D2,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,1,SK6805,C2909056
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C2765186
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,C5656610
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,C94403
Q3,SOT-723,1,CJ3139K,C70022
"R1, R13, R14, R15, R16, R8",0402,6,10k,C25744
R11,0402,1,470,C25117
"R12, R18, R4",0402,3,100k,C25741
"R17, R6",0402,2,3.3k,C25890
"R2, R3",0402,2,5.1k,C25905
R5,0402,1,33k,C25779
R7,0402,1,2k,C4109
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm,1,ESP32-PICO-D4,C193707
U4,SOT-23-5,1,TP4065-4.2V,C113540
U8,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,C93216
U9,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TLV76733DRVx,C2848334
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C32346
