Designator,Mid X,Mid Y,Rotation,Layer
AE1,139.03,-111.78375,180.0,top
C1,147.4025,-83.46375,270.0,top
C10,148.94,-88.11375,180.0,top
C11,147.04,-92.13375,0.0,top
C12,136.5825,-88.69375,270.0,top
C13,145.15,-89.71375,90.0,top
C14,145.15,-87.53375,270.0,top
C16,145.69,-110.13375,315.0,top
C17,137.24,-109.73375,180.0,top
C2,142.09,-83.16375,270.0,top
C22,137.23,-97.623161,180.0,top
C23,137.24,-108.68375,180.0,top
C24,148.04,-100.08375,0.0,top
C25,146.39,-109.43375,315.0,top
C3,145.84,-75.33375,90.0,top
C4,140.04,-96.58375,180.0,top
C5,141.59,-99.38375,45.0,top
C6,136.61,-80.08375,180.0,top
C7,148.04,-101.08375,0.0,top
C8,137.23,-98.63375,180.0,top
C9,140.0325,-86.04375,0.0,top
D1,148.24,-86.63375,180.0,top
D2,142.64,-127.18375,180.0,top
J1,142.64,-70.68375,180.0,top
J4,137.56,-75.18375,0.0,bottom
J9,147.72,-75.18375,0.0,bottom
MK1,142.64,-94.68375,180.0,top
Q1,137.79,-83.38875,270.0,top
Q3,147.24,-81.23375,180.0,top
R1,138.1,-93.15375,180.0,top
R11,145.29,-99.78375,225.0,top
R12,144.84,-94.68375,270.0,top
R13,136.5825,-86.72375,270.0,top
R14,138.1025,-86.05375,0.0,top
R15,142.2425,-91.66375,90.0,top
R16,140.04,-93.14375,180.0,top
R17,142.09,-85.06375,270.0,top
R18,146.99,-88.11375,180.0,top
R2,148.54,-73.08375,270.0,top
R3,136.74,-73.08375,270.0,top
R4,148.9525,-82.96375,0.0,top
R5,148.9525,-83.96375,180.0,top
R6,140.5525,-82.66375,180.0,top
R7,140.5525,-83.66375,0.0,top
R8,138.54,-80.08375,180.0,top
SW1,145.89,-116.13375,0.0,bottom
U1,142.64,-77.68375,180.0,top
U2,142.64,-104.93375,135.0,top
U4,144.74,-83.96375,180.0,top
U6,143.8,-85.03375,0.0,bottom
U8,139.4125,-89.61375,270.0,top
U9,147.39,-90.23375,90.0,top
Y1,143.47,-88.62375,90.0,top
