Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C20, C26, C27, C29, C3",0603,7,10u,C96446
"C10, C11, C12, C13, C14, C15, C16, C21, C28, C30, C31, C32, C33, C34, C35, C36, C37, C38, C4, C5, C7, C71, C8, C9",0603,24,100n,C14663
"C17, C19",0603,2,22p,C1653
"C18, C22",0603,2,10n,C57112
"C23, C24",0603,2,6.8n,C1631
C25,CP_Elec_6.3x5.4,1,100u,C180946
"C39, C40, C6",0603,3,1u,C15849
"C52, C56",0603,2,27p,C1653
D1,D_SOD-123,1,SM4007,C64898
FB1,0603,1,FerriteBead,C1002
"J1, J4",USB_C_Receptacle_Palconn_UTC16-G,2,USB_C_Receptacle_USB2.0,C709357
Q1,SOT-363_SC-70-6,1,MUN5214DW1T1G,C136173
Q2,SOT-23,1,MMBT3904,C20526
"R1, R30, R32, R4",0603,4,5.1k,C23186
"R10, R12, R3, R6",0603,4,10k,C25804
"R11, R7, R8, R9",0603,4,4.7,C23164
"R13, R14, R15, R16",0603,4,49.9,C23185
R17,0603,1,1M,C22935
"R18, R19",0603,2,470,C23179
"R2, R31, R47, R5, R52, R53",0603,6,1k,C21190
R20,0603,1,12.4k,C22865
R21,0603,1,10,C22859
"R22, R23, R24, R25, R26, R27, R28, R29",0603,8,100,C22775
"R33, R34",0603,2,27,C25190
"SW3, SW4",SW_SPST_TL3342,2,SW_Push,C318884
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
U11,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U2,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
U3,ESP32-WROOM-32U,1,ESP32-WROOM-32U,C328062
U6,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC595,C5947
U7,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
