Designator,Mid X,Mid Y,Rotation,Layer
C1,65.69,-137.7,270.0,top
C10,97.2625,-83.25,0.0,top
C11,81.3625,-85.05,180.0,top
C12,81.3625,-82.05,180.0,top
C13,81.3625,-80.55,180.0,top
C14,92.9625,-73.35,90.0,top
C15,88.4625,-73.35,90.0,top
C16,91.4625,-73.35,90.0,top
C17,87.0625,-92.6,270.0,top
C18,93.4,-68.4,90.0,top
C19,92.8625,-92.6,270.0,top
C2,64.19,-137.7,270.0,top
C20,81.3625,-83.55,180.0,top
C21,81.3625,-86.55,180.0,top
C22,84.4,-68.4,90.0,top
C23,88.9,-68.4,90.0,top
C24,96.4,-68.4,270.0,top
C25,74.8,-66.5,270.0,top
C26,76.2,-145.5,180.0,top
C27,85.6,-145.5,0.0,top
C28,73.165,-100.425,180.0,top
C29,73.165,-101.925,180.0,top
C3,62.69,-137.7,270.0,top
C30,69.3,-77.9875,90.0,top
C31,76.6,-94.8,270.0,top
C32,70.8,-77.9875,90.0,top
C33,72.3,-77.9875,90.0,top
C34,65.8,-83.7625,180.0,top
C35,65.8,-86.3625,180.0,top
C36,79.0,-86.2,90.0,top
C37,75.1,-94.8,270.0,top
C38,77.2,-83.8625,0.0,top
C39,76.8,-77.9875,90.0,top
C4,67.19,-137.7,270.0,top
C40,79.8,-79.0,0.0,top
C5,72.6,-143.7,90.0,top
C52,68.05,-94.475,270.0,top
C56,70.55,-97.5,180.0,top
C6,70.19,-137.7,270.0,top
C7,85.5625,-92.6,270.0,top
C71,69.3,-74.8,270.0,top
C8,97.2625,-80.25,0.0,top
C9,97.2625,-81.75,0.0,top
D1,73.2,-51.8,180.0,top
FB1,97.2625,-78.75,180.0,top
J1,68.713299,-151.25,0.0,top
J2,66.64,-63.76,180.0,top
J3,88.5,-56.045,180.0,bottom
J4,92.5,-151.225,0.0,top
J5,98.14,-96.6,270.0,top
Q1,72.5,-137.8,270.0,top
Q2,89.1,-98.0,90.0,top
R1,71.113299,-146.825,180.0,top
R10,97.2625,-86.25,180.0,top
R11,90.4,-68.4,270.0,top
R12,97.2625,-84.75,180.0,top
R13,85.9,-68.4,270.0,top
R14,79.9,-68.4,270.0,top
R15,94.9,-68.4,90.0,top
R16,91.9,-68.4,90.0,top
R17,89.9625,-90.1,180.0,top
R18,82.5625,-92.6,270.0,top
R19,84.0625,-92.6,270.0,top
R2,63.8,-88.1,0.0,top
R20,89.9625,-73.35,270.0,top
R21,82.9,-68.4,270.0,top
R22,73.065,-108.625,90.0,top
R23,74.6,-108.625,90.0,top
R24,76.1,-108.625,90.0,top
R25,77.6,-108.625,90.0,top
R26,79.1,-108.625,90.0,top
R27,80.6,-108.625,90.0,top
R28,82.1,-108.625,90.0,top
R29,83.6,-108.625,90.0,top
R3,68.69,-137.7,90.0,top
R30,90.069,-146.8,0.0,top
R31,88.9,-100.8,0.0,top
R32,95.069,-146.8,180.0,top
R33,73.8,-77.9875,270.0,top
R34,75.3,-77.9875,270.0,top
R4,66.513299,-146.825,180.0,top
R47,73.2,-94.8,270.0,top
R5,63.8,-89.6,0.0,top
R52,95.7,-138.1,0.0,top
R53,62.0,-81.8,90.0,top
R6,94.3625,-92.6,90.0,top
R7,87.4,-68.4,90.0,top
R8,81.4,-68.4,270.0,top
R9,95.7,-70.7,180.0,top
SW1,64.9,-102.55,270.0,bottom
SW2,96.2,-107.65,90.0,bottom
SW3,97.2,-133.0,270.0,top
SW4,97.2,-124.3,270.0,top
U1,68.863299,-143.2875,90.0,top
U11,64.065,-75.4625,90.0,top
U2,89.4625,-82.65,270.0,top
U3,74.09,-126.1,90.0,top
U4,78.253,-153.2075,0.0,top
U6,80.0,-103.35,90.0,top
U7,71.5,-85.9,0.0,top
U8,85.63,-112.7205,90.0,bottom
Y1,89.9625,-92.6,0.0,top
Y2,70.6,-94.6,90.0,top
